Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,feature,remove_NO2-N,9999,0.4164039558166577,-0.11598424922502563,0.3534074774826763,1.6738736640631244,0.7333304023654247,0.4810798442414931,0.5510589189192756,-0.20434160289137115,0.5093252837551444,0.42991494338883973,163914.0,,,,
original,feature,remove_DOC,9999,0.8606561032280325,0.024635574263739392,0.3716253561612725,1.4874079250410028,0.7168390526018256,0.5206737118977263,0.3825537426450749,-0.012409215666706164,0.47086624265352695,0.4964422992767409,163898.0,,,,
original,feature,remove_NH4-N,9999,0.8081467231681561,0.0463187945068694,0.34611752389550743,1.484588209723433,0.71403850897541,0.51750338916117,0.30754965324160455,0.018478937010817487,0.41927869680153007,0.4677769432624149,163914.0,,,,
original,feature,remove_Br,9999,0.8423957020646041,0.18858061281166746,0.3990249022699979,1.492139940884219,0.69230518946485,0.5291018900613996,0.4382729263151106,-0.047425442074577884,0.5218813250619683,0.5532938119860886,163881.0,,,,
ontario,module,full,42,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985.0,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,module,no_attention,42,0.8805793883092237,0.617496421873326,0.686977214957804,0.26899311845847823,0.351507969227018,,,,,,126404.0,0.6907176257019239,0.6747947268657966,0.715785589622195,0.6666109176413002
ontario,module,no_chemistry,42,0.8918767551987017,0.6390681548525327,0.6963548819045986,0.2620132553465372,0.34912984691056853,,,,,,123737.0,0.6765603555546624,0.6858710716773841,0.7305861058780387,0.6924019945083091
ontario,module,no_interaction,42,0.8561369151758991,0.4887197673491973,0.6886957011695386,0.265983973045067,0.3558564575686394,,,,,,118601.0,0.7098526929414211,0.6674496378649566,0.7447707729330351,0.6327097009387415
ontario,module,no_grouping,42,0.9282788426787805,0.5952588635016858,0.6622010593493814,0.28830282981159894,0.36201026763639427,,,,,,81493.0,0.6952546699709466,0.6074189906825161,0.7154505149903808,0.6306800617536816
ontario,module,random_grouping,42,0.9118125841320303,0.498506849999319,0.6770976590156765,0.2779077689240512,0.355977806586664,,,,,,134985.0,0.6739309084488835,0.6407452170587928,0.7054447193058508,0.6882697912491789
ontario,module,no_hier_loss,42,0.8867051183892865,0.5272159114207781,0.6864480908937842,0.2681805346633399,0.36098130899708114,,,,,,134985.0,0.7056344716849687,0.6570428828303136,0.7361251230510215,0.6469898860088327
ontario,module,multitask_mlp,42,0.6144538973839658,0.31355295442915104,0.6536962207310901,0.29788092686242773,0.3893471140774761,,,,,,4932.0,0.627621201216979,0.6254507102817962,0.7424437653977154,0.61926920602787
ontario,module,full,123,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985.0,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,module,no_attention,123,0.5553262292344578,0.34477593434060727,0.647442343483076,0.29033395894658853,0.36545524850769007,,,,,,126404.0,0.5836951153642849,0.6845979926356178,0.6717609410163027,0.6497153249160988
ontario,module,no_chemistry,123,0.844938178214666,0.29081177187931717,0.7207254506345778,0.21820574515560962,0.3272563493241244,,,,,,123737.0,0.7193299611655752,0.6863576469295788,0.8202475448047508,0.6569666496384066
ontario,module,no_interaction,123,0.5163997436650959,0.2581500250371911,0.5746355219835586,0.3331900150077215,0.42885298222284307,,,,,,118601.0,0.6145885955506775,0.6104854642931635,0.6049494103423472,0.4685186177480465
ontario,module,no_grouping,123,0.40889901977610765,0.07702231202668663,0.45845029373152557,0.4318831048864069,0.5281292207237266,,,,,,81493.0,0.44827964857847,0.41615085178344924,0.5318681599392667,0.4375025146249163
ontario,module,random_grouping,123,0.824475775525719,0.30648558815810933,0.7054810365076718,0.2303456819186726,0.33718948782416736,,,,,,134985.0,0.7054104487217161,0.6830976354740121,0.8014186955086843,0.6319973663262746
ontario,module,no_hier_loss,123,0.8361731742196985,0.26109811542526873,0.7238985398872648,0.21565673796122892,0.3292031735342025,,,,,,134985.0,0.7291751233952745,0.6805399935870268,0.8103298545759965,0.6755491879907618
ontario,module,multitask_mlp,123,0.3350676220252969,0.04678642006742445,0.34364540477110805,0.5156968903840791,0.5995675916218728,,,,,,4932.0,0.42998027227623103,0.25388387077047103,0.3382707603370162,0.3524467157007144
ontario,module,full,456,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985.0,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,module,no_attention,456,0.6593220331454577,0.6818705947433958,0.5858220021458087,0.8129695925749024,0.5967894122504682,,,,,,126404.0,0.6010183312313475,0.5710729426053337,0.6182401681021887,0.5529565666443649
ontario,module,no_chemistry,456,0.6744575469576871,0.6747956776084463,0.5741413202547856,0.8354406609860887,0.5944124543717837,,,,,,123737.0,0.6105617395134134,0.5422800024168992,0.6063923261285284,0.5373312129603013
ontario,module,no_interaction,456,0.7377277843928224,0.6637675549845014,0.6269152786712108,0.7297977101031374,0.5651960676353833,,,,,,118601.0,0.6441408572625205,0.619271852800158,0.6648859276132129,0.5793624770089518
ontario,module,no_grouping,456,0.683044208599453,0.6460762973135814,0.5656583632223471,0.8527938237381631,0.6145267525509495,,,,,,81493.0,0.5941217816957431,0.5471257155545532,0.5880278747796435,0.5333580808594482
ontario,module,random_grouping,456,0.6828224379468832,0.691479383545215,0.5795958386988705,0.8244348571378647,0.6079254632535186,,,,,,134985.0,0.5942517739225642,0.5724396561118253,0.6107488505805192,0.5409430741805736
ontario,module,no_hier_loss,456,0.6605914119826475,0.6798084452363553,0.5834657016979463,0.8162888984998405,0.5974087111103066,,,,,,134985.0,0.60315894651452,0.5891404942937508,0.5998813065184043,0.54168205946511
ontario,module,multitask_mlp,456,0.6008502394140429,0.6906853277405822,0.5354281013262849,0.9128063984031892,0.6460648673811455,,,,,,4932.0,0.5779012487794732,0.49978214586292036,0.5583763244451725,0.5056526862175736
ontario,module,full,789,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,,,,,,134985.0,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194
ontario,module,no_attention,789,0.5466669327977227,0.5385434886447873,0.5773768090528373,0.2885415476191324,0.38589275962085345,,,,,,126404.0,0.6122064695074808,0.5460086928550549,0.711677493272738,0.43961458057607516
ontario,module,no_chemistry,789,0.5210417783290203,0.5184018954412223,0.5914491638413775,0.2794653242566739,0.41247683917545025,,,,,,123737.0,0.640691347084873,0.6526194034166596,0.607189363416391,0.4652965414475859
ontario,module,no_interaction,789,0.5416457880220964,0.5824443350077855,0.6120424620260536,0.26493625236845164,0.38199399816721813,,,,,,118601.0,0.6296824643636929,0.6064139449994674,0.6935422505699547,0.5185311881710999
ontario,module,no_grouping,789,0.5283683636423577,0.5154620446366025,0.5405545242075848,0.31231105700527173,0.406727466158127,,,,,,81493.0,0.5928276727077747,0.5631204939456765,0.5455852855669591,0.4606846446099283
ontario,module,random_grouping,789,0.4915659616478378,0.45894380119556943,0.517689615976917,0.331637934167642,0.4156466084352708,,,,,,134985.0,0.5482882436021079,0.5774611947171389,0.6149093656167646,0.33009965997165647
ontario,module,no_hier_loss,789,0.574924378644062,0.5348739856075131,0.6322113081144356,0.2503240347624225,0.3619732355383612,,,,,,134985.0,0.6911266278344809,0.5920476381749136,0.7514146301185144,0.49425633632983357
ontario,module,multitask_mlp,789,0.5304574510954478,0.5297495529581135,0.49094382455351115,0.3474278439816386,0.436714620083243,,,,,,4932.0,0.45073782489686687,0.5232383986152029,0.4920726787029711,0.4977263959990038
ontario,module,full,1024,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985.0,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,module,no_attention,1024,0.68765662117981,0.60488289386599,0.42935171457428334,0.6841386231704104,0.5760898144441574,,,,,,126404.0,0.4435048534238496,0.43627389182158827,0.4533876730984384,0.38424043995325685
ontario,module,no_chemistry,1024,0.6950687458401565,0.586783600202431,0.44756758194184126,0.6621848087570127,0.5443852611841423,,,,,,123737.0,0.4636361379135979,0.500938671776754,0.4681193933807992,0.35757612469621414
ontario,module,no_interaction,1024,0.7142744206718481,0.5410932153505701,0.5130477206643163,0.583667653046925,0.5012782485373941,,,,,,118601.0,0.5216148175378065,0.5200154548557587,0.5486076951041488,0.46195291515955084
ontario,module,no_grouping,1024,0.6702101417792333,0.680732429393787,0.5244371728334551,0.5700879632007283,0.5144264778573913,,,,,,81493.0,0.5361054468758875,0.5398181392880175,0.5416675954541491,0.48015750971576676
ontario,module,random_grouping,1024,0.7203124167756366,0.580514887922465,0.48754395486225355,0.6126278108854982,0.5316789345416805,,,,,,134985.0,0.4624387260036976,0.5187498194452385,0.5170355667502061,0.45195170724987244
ontario,module,no_hier_loss,1024,0.6895876910122262,0.6086093242248193,0.4290795343722221,0.6834725094547573,0.5647197008277144,,,,,,134985.0,0.4214113488982807,0.4515965248705295,0.4685929200741721,0.37471734364590614
ontario,module,multitask_mlp,1024,0.7309295956494831,0.5839469339669017,0.5122135153783864,0.5849494254127661,0.5361972718212964,,,,,,4932.0,0.5291088656508915,0.5304388002933011,0.5325084883711737,0.4567979071981796
ontario,module,full,2025,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985.0,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,module,no_attention,2025,0.5232508708656062,0.3662003591537677,0.5405001813440682,0.44883813729988886,0.4907384520560767,,,,,,126404.0,0.5968742897895157,0.530335121396639,0.5765856928262214,0.45820562136389664
ontario,module,no_chemistry,2025,0.5369380269066333,0.3754354284669744,0.5289840532231923,0.464028367663355,0.4868327913867899,,,,,,123737.0,0.5179980119092991,0.6144533628893696,0.678416010272229,0.3050688278218714
ontario,module,no_interaction,2025,0.5680885469442997,0.4847292057259598,0.5373240587225774,0.4476541869351328,0.4770868128758995,,,,,,118601.0,0.6149149951496347,0.5215878467099095,0.6084712589397856,0.40432213409098017
ontario,module,no_grouping,2025,0.5158829607877709,0.37465570388208275,0.4831479805284571,0.5136717030442849,0.5369314352755464,,,,,,81493.0,0.5208156493189963,0.530556770824849,0.4146335943606152,0.4665859076093678
ontario,module,random_grouping,2025,0.55592086263217,0.39896939349714544,0.5467129477625841,0.4488929055497728,0.4784162815851397,,,,,,134985.0,0.5441964205258807,0.5716320454564292,0.6113418446853771,0.4596814803826492
ontario,module,no_hier_loss,2025,0.5640455458487839,0.3737680992625225,0.5196091270988736,0.46923008252632686,0.5055414695398348,,,,,,134985.0,0.5494894796533152,0.44512139172985177,0.6241454431224579,0.4596801938898698
ontario,module,multitask_mlp,2025,0.5586216275817787,0.39056703729925624,0.533155075385684,0.45451146278852705,0.49759454708222123,,,,,,4932.0,0.5734376788012628,0.6016584525461202,0.6583189145132129,0.2992052556821402
ontario,module,full,3407,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,,,,,,134985.0,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316
ontario,module,no_attention,3407,0.6899063603620861,0.6674582262499045,0.544432908624451,0.5850576826587033,0.49914669582191024,,,,,,126404.0,0.5712113745515899,0.5376776846210469,0.5992658387762555,0.46957673654891197
ontario,module,no_chemistry,3407,0.7647206966138175,0.682596793879803,0.5883666928924658,0.5261760473642509,0.48605765480730584,,,,,,123737.0,0.5946214257539302,0.591034876825278,0.6386212592608429,0.5291892097298121
ontario,module,no_interaction,3407,0.7527329012302648,0.6542640874582706,0.6192803840888954,0.48685190853254434,0.46635206281942165,,,,,,118601.0,0.631082733066403,0.6297183081992836,0.6668766788275469,0.5494438162623487
ontario,module,no_grouping,3407,0.6416460019281021,0.6270646027987234,0.5663544510598062,0.554255511461154,0.5254078586730598,,,,,,81493.0,0.5747601185793603,0.5785033780748533,0.6321537765096485,0.4800005310753628
ontario,module,random_grouping,3407,0.6881805333993187,0.6680505478085725,0.601586978779425,0.5118737522061916,0.48634146532320954,,,,,,134985.0,0.6214124861329198,0.5860599012677676,0.6502272356194481,0.5486482920975649
ontario,module,no_hier_loss,3407,0.7512625859826652,0.6791057420437796,0.5958217994940007,0.5140880104939687,0.47748858183374676,,,,,,134985.0,0.5881171877726232,0.6078889431890617,0.6255137746980632,0.5617672923162551
ontario,module,multitask_mlp,3407,0.6441095425265813,0.6612044130875694,0.5113609261255639,0.6285689051054535,0.539944473961898,,,,,,4932.0,0.5620440914494489,0.5234884122224831,0.5638960154374472,0.39601518539287683
ontario,module,full,5555,0.7399641727960551,0.484711288964821,0.4586090392613622,0.39665467005797816,0.405177006320542,,,,,,134985.0,0.3869036027404128,0.5163453557128035,0.5135792731072877,0.41760792548494496
ontario,module,no_attention,5555,0.6143754991212436,0.5155733998302581,0.449676083208179,0.407795759750879,0.44536787289471463,,,,,,126404.0,0.49533024338705745,0.46607983967993905,0.48489903877510987,0.35239521099061
ontario,module,no_chemistry,5555,0.6222730292826555,0.46804970794331313,0.4250691007239833,0.42533262685382944,0.4400600861997134,,,,,,123737.0,0.524858595559593,0.48959580847295325,0.3677714732792853,0.31805052558410174
ontario,module,no_interaction,5555,0.7576126078602066,0.48663562702340424,0.4265188124002853,0.41924656902227714,0.39089854106077154,,,,,,118601.0,0.341799103930706,0.504848805283289,0.46442819165792426,0.3949991487292208
ontario,module,no_grouping,5555,0.6292033972219355,0.5091556959658916,0.48713501997840036,0.3772057785435571,0.4534913527511706,,,,,,81493.0,0.45434647313175924,0.5270087777461749,0.5152090055772576,0.4519758234584098
ontario,module,random_grouping,5555,0.6502229075179233,0.48180372846639363,0.4424214524358555,0.40812567449784487,0.4401019737677865,,,,,,134985.0,0.4008429256936219,0.530897608895061,0.5465987589689283,0.2913465161858104
ontario,module,no_hier_loss,5555,0.739759885342134,0.4841256501923458,0.45967899106722415,0.3956766258077532,0.4039869486633657,,,,,,134985.0,0.37867514770878774,0.5165052523697315,0.523106183256133,0.4204293809342443
ontario,module,multitask_mlp,5555,0.6092619867796518,0.40449157896468446,0.39377067716429837,0.4477229475164889,0.4858229770191041,,,,,,4932.0,0.3937618633831166,0.41859842111634604,0.42047575778275637,0.34224666637497403
ontario,module,full,7777,0.879916129916298,0.7818090624413739,0.6247405706210203,0.42769168643795785,0.4579034356083107,,,,,,134985.0,0.5982022726348434,0.6351692440777057,0.6377077709353857,0.6278829948361464
ontario,module,no_attention,7777,0.8929343089613082,0.8069202698882008,0.6249689945406556,0.4252822376329913,0.45989909239816196,,,,,,126404.0,0.6203558941364302,0.5975530058215831,0.6494857001283667,0.6324813780762422
ontario,module,no_chemistry,7777,0.9046810877990702,0.774750643389911,0.5918259533627186,0.463118872629422,0.46893475384631417,,,,,,123737.0,0.5909494088545104,0.5758615082884462,0.6009133520957384,0.5995795442121794
ontario,module,no_interaction,7777,0.9037358145529858,0.7350498091261672,0.5964356238224098,0.45755123006957715,0.4713491173460367,,,,,,118601.0,0.583520324130598,0.6024480197841415,0.6344476701307395,0.5653264812441599
ontario,module,no_grouping,7777,0.9034165794735978,0.7310049751839178,0.5512852418607541,0.507794161439906,0.4961089509200754,,,,,,81493.0,0.5571449750981583,0.5488293871571803,0.5746289021274642,0.5245377030602133
ontario,module,random_grouping,7777,0.9449311724389909,0.6865724700289768,0.6094306936237914,0.44075230345642435,0.466637520211045,,,,,,134985.0,0.626103583210404,0.5636499106660235,0.643211143842408,0.6047581367763304
ontario,module,no_hier_loss,7777,0.8804673002842436,0.7793472811481179,0.6229096420723601,0.4301792933993253,0.45735951385520096,,,,,,134985.0,0.5920744824327868,0.6396207710919013,0.6341268985071331,0.6258164162576192
ontario,module,multitask_mlp,7777,0.8815473566037204,0.6106003200176665,0.625437501452186,0.4248221157584936,0.47366643297212696,,,,,,4932.0,0.6108853439599495,0.6340284354306003,0.6619793196280088,0.5948569067901853
ontario,module,full,9999,0.5923546611985624,0.3185615686684087,0.47483669164925946,0.5591628039815038,0.5530974031900202,,,,,,134985.0,0.48817872426985365,0.4386616867893244,0.5167673084754549,0.45573904706240453
ontario,module,no_attention,9999,0.6023770419516158,0.3434223832737869,0.4515819474592643,0.5848437299946302,0.5482403313125244,,,,,,126404.0,0.46103312044996214,0.4517000475682752,0.49701007653592466,0.3965845452828949
ontario,module,no_chemistry,9999,0.6250298304629607,0.25104947715955916,0.4811000085633316,0.5533104646570222,0.5645291370507547,,,,,,123737.0,0.5107422104464661,0.4508633479524521,0.507497666437587,0.45529680941682105
ontario,module,no_interaction,9999,0.5708421724735101,0.3056602047950363,0.45911592773158494,0.576905195607133,0.5611981709533137,,,,,,118601.0,0.49323989641450094,0.39962303735614335,0.5067462212784601,0.4368545558772352
ontario,module,no_grouping,9999,0.572342865034191,0.232035983817835,0.4053728506681132,0.6354976861742644,0.5938294576026149,,,,,,81493.0,0.4872143625659854,0.3793725160049154,0.3739790610394581,0.3809254630620944
ontario,module,random_grouping,9999,0.5994308937027796,0.29841064376754545,0.4920171276216275,0.5403490519335267,0.5383654899952909,,,,,,134985.0,0.5001854157573893,0.4775814247328741,0.5119155583285442,0.4783861116677023
ontario,module,no_hier_loss,9999,0.5924168124731009,0.31888928676260075,0.4748646863654044,0.5591312459024383,0.5527329244605397,,,,,,134985.0,0.488076107468133,0.43873963691776163,0.5169578491614337,0.45568515191428915
ontario,module,multitask_mlp,9999,0.5805533284237385,0.21445268590950115,0.40003642043138943,0.6410589582596011,0.6151477184566615,,,,,,4932.0,0.45743246787083613,0.36229572651606756,0.42197725258816,0.35844023475049425
ontario,feature,baseline_all_features,42,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985.0,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,feature,remove_Temp,42,0.7036099466156149,0.4803933029874144,0.6387329151938897,0.3091321353700632,0.38812562517600074,,,,,,123737.0,0.6533039001943028,0.6509698069892943,0.7047938908319307,0.5458640627600313
ontario,feature,remove_pH,42,0.582293648344294,0.4107927859931493,0.6122034814745979,0.33132509188570586,0.4281269364397514,,,,,,123705.0,0.6538288432345045,0.5689339614690805,0.6487895548105729,0.5772615663842335
ontario,feature,remove_DOC,42,0.8099221232777772,0.4691976814774121,0.40035590614793654,0.5146159150070522,0.5018229492001448,,,,,,123696.0,0.4342148158215241,0.3886467745994242,0.42397045791751664,0.35459157625328075
ontario,feature,remove_Cl2,42,0.8828063300781627,0.7520041193567475,0.6972370483672266,0.2630764255246591,0.3455756640474408,,,,,,112728.0,0.6504511583525616,0.7121594668202738,0.7123326316984955,0.7140049365975751
ontario,feature,remove_NO2-N,42,0.8851673830754989,0.5951659902151794,0.7025373715706656,0.25515478075945797,0.34707454006039085,,,,,,123737.0,0.707139161324869,0.6797129054087294,0.7483695701459443,0.6749278494031199
ontario,feature,remove_NH4-N,42,0.8844415659338565,0.5814603959332861,0.7013729296511722,0.25617661673062264,0.3479481655588129,,,,,,123737.0,0.7042306836256513,0.6839507826733242,0.7501306566314013,0.6671795956743116
ontario,feature,remove_Br,42,0.8591560220697516,0.6176670396704969,0.6340820843579217,0.31277391950932953,0.38875299528178164,,,,,,123712.0,0.6673857065451076,0.585625491630658,0.676397711776527,0.6069194274793936
ontario,feature,baseline_all_features,123,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985.0,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,feature,remove_Temp,123,0.792473077278875,0.4538597263131771,0.6914601042879959,0.24179778409538816,0.35730768914975997,,,,,,123737.0,0.703269884645721,0.6872149547363773,0.7549905985961244,0.6203649791737605
ontario,feature,remove_pH,123,0.5653004274292462,0.31105819040009064,0.6241969158265259,0.29764564092333795,0.3816724509436439,,,,,,123705.0,0.6673125179697231,0.5736153070213054,0.5991446906859635,0.6567151476291121
ontario,feature,remove_DOC,123,0.22191903877706132,0.06168107892787805,0.22728466543271336,0.6075690084498686,0.6312997797339894,,,,,,123696.0,0.2783823974070585,0.18000322189393492,0.31530765311383424,0.13544538931602557
ontario,feature,remove_Cl2,123,0.5297112200500415,0.33387238149619547,0.6042197824294142,0.32750138487244984,0.40780403615810423,,,,,,112728.0,0.5485403134267939,0.6864890026961847,0.5655457005716913,0.6163041130229875
ontario,feature,remove_NO2-N,123,0.5536507614480055,0.27099782649093584,0.6253143781673767,0.2969780699027479,0.3973564451133637,,,,,,123737.0,0.6535247046505531,0.6426101063193668,0.6175547786855407,0.5875679230140466
ontario,feature,remove_NH4-N,123,0.5603634656700479,0.2678472993879,0.6276927364735099,0.290829643633727,0.4012254999513617,,,,,,123737.0,0.6776852765959223,0.6306733177188919,0.6381962375703141,0.5642161140089115
ontario,feature,remove_Br,123,0.5319957435871994,0.30883399252442134,0.6010379284723846,0.3206614054110593,0.40960316498245636,,,,,,123712.0,0.6010311361231854,0.6054067752396384,0.5947723905762027,0.6029414119505123
ontario,feature,baseline_all_features,456,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985.0,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,feature,remove_Temp,456,0.7849228533131278,0.6890727503256113,0.6092804007997704,0.7596663434244935,0.6130311656463763,,,,,,123737.0,0.642180140202084,0.5972678386760192,0.671358078899731,0.5263155454212471
ontario,feature,remove_pH,456,0.5664003523067787,0.6085871177573368,0.5147398425765423,0.948740346195364,0.6849852104951742,,,,,,123705.0,0.4805642525841749,0.5573222463806002,0.5723140412207275,0.44875883012066653
ontario,feature,remove_DOC,456,0.3325241116956285,0.5415299755045663,0.3284931046093783,1.3197690657029053,0.8136079630881784,,,,,,123696.0,0.33249774705397006,0.3390176443432681,0.354676837765441,0.2877801892748346
ontario,feature,remove_Cl2,456,0.7234848403573648,0.6545344828593072,0.5995207722694422,0.7869973539890441,0.579619830911285,,,,,,112728.0,0.6087804781424023,0.5949872503740559,0.6198420678970209,0.5744732926642899
ontario,feature,remove_NO2-N,456,0.658249743652072,0.6765390108939158,0.5926928326615941,0.7981960235058376,0.585172655694646,,,,,,123737.0,0.592433493027769,0.5785477984866423,0.649320310155447,0.5504697289765176
ontario,feature,remove_NH4-N,456,0.6622211370426185,0.6791136844309713,0.5889358185087017,0.8053393402690818,0.5876214423583658,,,,,,123737.0,0.6084981309476655,0.5636340982336802,0.6384577026465563,0.5451533422069049
ontario,feature,remove_Br,456,0.6492691534948493,0.663483130064239,0.601659391863197,0.7810052597542082,0.5786970507096949,,,,,,123712.0,0.6179008037851392,0.5939751765786896,0.6308395749182314,0.5639220121707278
ontario,feature,baseline_all_features,789,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,,,,,,134985.0,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194
ontario,feature,remove_Temp,789,0.47000034210681174,0.5133047102710577,0.5353534921982261,0.31820939522139735,0.4167938399323022,,,,,,123737.0,0.5459944802086363,0.5335073716529597,0.658249029146858,0.4036630877844496
ontario,feature,remove_pH,789,0.518489904722273,0.5743053091265826,0.5569732783406691,0.2997310982986565,0.4145570071824661,,,,,,123705.0,0.6041292827102864,0.4783631224893182,0.6585553167892777,0.4868453913737941
ontario,feature,remove_DOC,789,0.29751820923588546,0.2959634835211054,0.32119703001743977,0.4644214337775686,0.5430579232114476,,,,,,123696.0,0.333719511701266,0.37393284632503765,0.39178299246751325,0.1853527695759416
ontario,feature,remove_Cl2,789,0.5405867799295447,0.5206453880328463,0.5048337093880204,0.33966791352551495,0.4260312524263635,,,,,,112728.0,0.5933771264481558,0.5938415252570941,0.5566860623884877,0.27543012345834406
ontario,feature,remove_NO2-N,789,0.5367548062337756,0.5581864378676823,0.6002123899314058,0.27403492947977354,0.3844662372479702,,,,,,123737.0,0.5920697923614868,0.645925303600217,0.63204285924753,0.5308116045163895
ontario,feature,remove_NH4-N,789,0.6551706906941489,0.5698085507454622,0.6308807193474666,0.24998317634782746,0.3480232094304445,,,,,,123737.0,0.6931278803362121,0.610417758196145,0.6672521381120144,0.5527251007454947
ontario,feature,remove_Br,789,0.5493572522272046,0.5532698248651617,0.606979973528827,0.27038588278796305,0.3806487367730819,,,,,,123712.0,0.590562806697313,0.6292797681490119,0.7121265575223568,0.49595076174662667
ontario,feature,baseline_all_features,1024,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985.0,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,feature,remove_Temp,1024,0.6820046420643178,0.6060557245996757,0.42324433577987775,0.6904595260749077,0.5701012417254121,,,,,,123737.0,0.42213471533289326,0.4990700836606179,0.4390573424985106,0.33271520162748924
ontario,feature,remove_pH,1024,0.6933958041021447,0.5976452252915887,0.49825904966000467,0.6011674931200529,0.5497126342107376,,,,,,123705.0,0.5040302708490674,0.5179480023226899,0.5156670464518575,0.4553908790164042
ontario,feature,remove_DOC,1024,0.42591771796277145,0.4724370530933522,0.24144059344994606,0.911090483846994,0.6917318180344398,,,,,,123696.0,0.2968626783824173,0.24184849125928132,0.29237431961496585,0.13467688454311955
ontario,feature,remove_Cl2,1024,0.7806024112822059,0.6809679749173618,0.6203220900942932,0.454216519210758,0.45995807545387074,,,,,,112728.0,0.6091840218568081,0.640705396139323,0.6337053340622131,0.5976936083188283
ontario,feature,remove_NO2-N,1024,0.6979297704959622,0.6195264378099637,0.4736567811809781,0.6303739473410783,0.5261475243348095,,,,,,123737.0,0.4760141332685367,0.5167531992402625,0.48781015469454614,0.4140496375205668
ontario,feature,remove_NH4-N,1024,0.7126061399893789,0.610380364056194,0.4863289401082014,0.6151390202506799,0.5202543839920071,,,,,,123737.0,0.4871436739524161,0.5280797201046997,0.5028872939736253,0.4272050724020646
ontario,feature,remove_Br,1024,0.6645745096651199,0.6004239111980478,0.4591123622881894,0.6483945030136746,0.5555358692480046,,,,,,123712.0,0.47439219402531996,0.4979276871371997,0.4826730375163518,0.38145653047388595
ontario,feature,baseline_all_features,2025,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985.0,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,feature,remove_Temp,2025,0.5410786380869873,0.3893808326328145,0.5407846285820481,0.45696506213979016,0.46691433788101977,,,,,,123737.0,0.4933286350018731,0.6180870677916752,0.6859003440690326,0.36582246746561176
ontario,feature,remove_pH,2025,0.5282702271126175,0.41158843128375383,0.46646530753092547,0.5164083632169705,0.5095629530034925,,,,,,123705.0,0.5844006033001015,0.5026654313536916,0.4779635409311581,0.3008316545387507
ontario,feature,remove_DOC,2025,0.25007835298071557,0.12882961694506817,0.2679178174202052,0.7226708082099113,0.6764210952467092,,,,,,123696.0,0.2819902053804564,0.2971783725954972,0.37174754034687985,0.12075515135798665
ontario,feature,remove_Cl2,2025,0.5125551819447518,0.3206116149007568,0.476916403998048,0.5124380391117895,0.5557235187321232,,,,,,112728.0,0.5218454367703957,0.5082593762970307,0.5437520893377827,0.3338087135869835
ontario,feature,remove_NO2-N,2025,0.5503521207683202,0.3941136682180154,0.5440151081391637,0.4596103641111586,0.4590898425361387,,,,,,123737.0,0.4584789195835969,0.6207161337102471,0.6654753755109959,0.4313900037518148
